ID,Rarity,level,AttackPower,HealthPoints,CostMoney
HT00,Common,0,3,30,1
,,1,4,33,1
,,2,5,36,1
,,3,6,39,1
,,4,7,42,1
,,5,8,45,1
,,6,9,48,1
,,7,10,51,1
,,8,11,54,1
,,9,12,57,1
,,10,13,60,1
,,11,14,63,1
,,12,15,66,1
,,13,16,69,1
,,14,17,72,1
,,15,18,75,1
,,16,19,78,1
,,17,20,81,1
,,18,21,84,1
,,19,22,87,1
,,20,23,90,1
,,21,24,93,1
,,22,25,96,1
,,23,26,99,1
,,24,27,102,1
,,25,28,105,1
,,26,29,108,1
,,27,30,111,1
,,28,31,114,1
,,29,32,117,1
,,30,33,120,1
,Rare,0,34,123,1
,,1,35,126,1
,,2,36,129,1
,,3,37,132,1
,,4,38,135,1
,,5,39,138,1
,,6,40,141,1
,,7,41,144,1
,,8,42,147,1
,,9,43,150,1
,,10,44,153,1
,,11,45,156,1
,,12,46,159,1
,,13,47,162,1
,,14,48,165,1
,,15,49,168,1
,,16,50,171,1
,,17,51,174,1
,,18,52,177,1
,,19,53,180,1
,,20,54,183,1
,,21,55,186,1
,,22,56,189,1
,,23,57,192,1
,,24,58,195,1
,,25,59,198,1
,,26,60,201,1
,,27,61,204,1
,,28,62,207,1
,,29,63,210,1
,,30,64,213,1
,,,,,
BD00,Common,0,0,60,1
,,1,0,64,1
,,2,0,68,1
,,3,0,72,1
,,4,0,76,1
,,5,0,80,1
,,6,0,84,1
,,7,0,88,1
,,8,0,92,1
,,9,0,96,1
,,10,0,100,1
,,11,0,104,1
,,12,0,108,1
,,13,0,112,1
,,14,0,116,1
,,15,0,120,1
,,16,0,124,1
,,17,0,128,1
,,18,0,132,1
,,19,0,136,1
,,20,0,140,1
,,21,0,144,1
,,22,0,148,1
,,23,0,152,1
,,24,0,156,1
,,25,0,160,1
,,26,0,164,1
,,27,0,168,1
,,28,0,172,1
,,29,0,176,1
,,30,0,180,1
,Rare,0,0,184,1
,,1,0,188,1
,,2,0,192,1
,,3,0,196,1
,,4,0,200,1
,,5,0,204,1
,,6,0,208,1
,,7,0,212,1
,,8,0,216,1
,,9,0,220,1
,,10,0,224,1
,,11,0,228,1
,,12,0,232,1
,,13,0,236,1
,,14,0,240,1
,,15,0,244,1
,,16,0,248,1
,,17,0,252,1
,,18,0,256,1
,,19,0,260,1
,,20,0,264,1
,,21,0,268,1
,,22,0,272,1
,,23,0,276,1
,,24,0,280,1
,,25,0,284,1
,,26,0,288,1
,,27,0,292,1
,,28,0,296,1
,,29,0,300,1
,,30,0,304,1
,,,,,
SH00,Common,0,7,10,1
,,1,9,11,1
,,2,11,12,1
,,3,13,13,1
,,4,15,14,1
,,5,17,15,1
,,6,19,16,1
,,7,21,17,1
,,8,23,18,1
,,9,25,19,1
,,10,27,20,1
,,11,29,21,1
,,12,31,22,1
,,13,33,23,1
,,14,35,24,1
,,15,37,25,1
,,16,39,26,1
,,17,41,27,1
,,18,43,28,1
,,19,45,29,1
,,20,47,30,1
,,21,49,31,1
,,22,51,32,1
,,23,53,33,1
,,24,55,34,1
,,25,57,35,1
,,26,59,36,1
,,27,61,37,1
,,28,63,38,1
,,29,65,39,1
,,30,67,40,1
,,0,69,41,1
,,1,71,42,1
,,2,73,43,1
,,3,75,44,1
,,4,77,45,1
,,5,79,46,1
,,6,81,47,1
,,7,83,48,1
,,8,85,49,1
,,9,87,50,1
,,10,89,51,1
,,11,91,52,1
,,12,93,53,1
,,13,95,54,1
,,14,97,55,1
,,15,99,56,1
,,16,101,57,1
,,17,103,58,1
,,18,105,59,1
,,19,107,60,1
,,20,109,61,1
,,21,111,62,1
,,22,113,63,1
,,23,115,64,1
,,24,117,65,1
,,25,119,66,1
,,26,121,67,1
,,27,123,68,1
,,28,125,69,1
,,29,127,70,1
,,30,129,71,1
